,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,rt,estimate,control
19442,6833,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.0,0.0,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6088582495048006,2.82842712474619
19443,7132,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.4,0.0,0.4,prospective_sensory,False,0.7071067811865476,0.0,,0.6282415318019361,1.414213562373095
19444,1095,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.8,0.005,0.0,prospective_sensory,False,1.0,0.0,,0.6259337466865993,0.9951621110978249
19445,9989,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.8,0.01,0.8,prospective_sensory,False,0.25,0.0,,0.5955093718955806,4.002865660992193
19446,20268,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.0,0.01,0.0,prospective_sensory,False,0.7071067811865476,0.0,,0.6256754821008411,1.420044012098831
19447,2503,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.0,0.01,0.4,prospective_sensory,False,0.5,0.0,,0.6091912981824356,2.0024006034132356
19448,5625,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.0,0.005,0.0,prospective_sensory,False,0.3535533905932738,0.0,,0.6174546346323813,2.8203753248368315
19449,23164,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.8,0.01,0.4,prospective_sensory,False,0.5,0.0,,0.6040486832913163,1.9890195290313033
19450,12614,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.4,0.0,0.8,prospective_sensory,False,4.0,0.0,,0.6355782693599713,0.25
19451,19384,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.8,0.01,0.4,prospective_sensory,False,2.0,0.0,,0.6479682246376974,0.5190121484987205
